customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update,full_name,customer_status,email_domain
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,14-02-2006 22:04,15-02-2006 04:57,MARY SMITH,Active,sakilacustomer.org
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1,14-02-2006 22:04,15-02-2006 04:57,PATRICIA JOHNSON,Active,sakilacustomer.org
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1,14-02-2006 22:04,15-02-2006 04:57,LINDA WILLIAMS,Active,sakilacustomer.org
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1,14-02-2006 22:04,15-02-2006 04:57,BARBARA JONES,Active,sakilacustomer.org
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1,14-02-2006 22:04,15-02-2006 04:57,ELIZABETH BROWN,Active,sakilacustomer.org
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1,14-02-2006 22:04,15-02-2006 04:57,JENNIFER DAVIS,Active,sakilacustomer.org
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1,14-02-2006 22:04,15-02-2006 04:57,MARIA MILLER,Active,sakilacustomer.org
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1,14-02-2006 22:04,15-02-2006 04:57,SUSAN WILSON,Active,sakilacustomer.org
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1,14-02-2006 22:04,15-02-2006 04:57,MARGARET MOORE,Active,sakilacustomer.org
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1,14-02-2006 22:04,15-02-2006 04:57,DOROTHY TAYLOR,Active,sakilacustomer.org
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1,14-02-2006 22:04,15-02-2006 04:57,LISA ANDERSON,Active,sakilacustomer.org
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1,14-02-2006 22:04,15-02-2006 04:57,NANCY THOMAS,Active,sakilacustomer.org
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,1,14-02-2006 22:04,15-02-2006 04:57,KAREN JACKSON,Active,sakilacustomer.org
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1,14-02-2006 22:04,15-02-2006 04:57,BETTY WHITE,Active,sakilacustomer.org
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1,14-02-2006 22:04,15-02-2006 04:57,HELEN HARRIS,Active,sakilacustomer.org
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0,14-02-2006 22:04,15-02-2006 04:57,SANDRA MARTIN,Inactive,sakilacustomer.org
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,1,14-02-2006 22:04,15-02-2006 04:57,DONNA THOMPSON,Active,sakilacustomer.org
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,1,14-02-2006 22:04,15-02-2006 04:57,CAROL GARCIA,Active,sakilacustomer.org
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1,14-02-2006 22:04,15-02-2006 04:57,RUTH MARTINEZ,Active,sakilacustomer.org
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1,14-02-2006 22:04,15-02-2006 04:57,SHARON ROBINSON,Active,sakilacustomer.org
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,1,14-02-2006 22:04,15-02-2006 04:57,MICHELLE CLARK,Active,sakilacustomer.org
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,1,14-02-2006 22:04,15-02-2006 04:57,LAURA RODRIGUEZ,Active,sakilacustomer.org
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,1,14-02-2006 22:04,15-02-2006 04:57,SARAH LEWIS,Active,sakilacustomer.org
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,1,14-02-2006 22:04,15-02-2006 04:57,KIMBERLY LEE,Active,sakilacustomer.org
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,1,14-02-2006 22:04,15-02-2006 04:57,DEBORAH WALKER,Active,sakilacustomer.org
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,1,14-02-2006 22:04,15-02-2006 04:57,JESSICA HALL,Active,sakilacustomer.org
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,1,14-02-2006 22:04,15-02-2006 04:57,SHIRLEY ALLEN,Active,sakilacustomer.org
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,1,14-02-2006 22:04,15-02-2006 04:57,CYNTHIA YOUNG,Active,sakilacustomer.org
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,1,14-02-2006 22:04,15-02-2006 04:57,ANGELA HERNANDEZ,Active,sakilacustomer.org
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,1,14-02-2006 22:04,15-02-2006 04:57,MELISSA KING,Active,sakilacustomer.org
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,1,14-02-2006 22:04,15-02-2006 04:57,BRENDA WRIGHT,Active,sakilacustomer.org
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,1,14-02-2006 22:04,15-02-2006 04:57,AMY LOPEZ,Active,sakilacustomer.org
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,1,14-02-2006 22:04,15-02-2006 04:57,ANNA HILL,Active,sakilacustomer.org
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,1,14-02-2006 22:04,15-02-2006 04:57,REBECCA SCOTT,Active,sakilacustomer.org
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,1,14-02-2006 22:04,15-02-2006 04:57,VIRGINIA GREEN,Active,sakilacustomer.org
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,1,14-02-2006 22:04,15-02-2006 04:57,KATHLEEN ADAMS,Active,sakilacustomer.org
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,1,14-02-2006 22:04,15-02-2006 04:57,PAMELA BAKER,Active,sakilacustomer.org
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,1,14-02-2006 22:04,15-02-2006 04:57,MARTHA GONZALEZ,Active,sakilacustomer.org
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,1,14-02-2006 22:04,15-02-2006 04:57,DEBRA NELSON,Active,sakilacustomer.org
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,1,14-02-2006 22:04,15-02-2006 04:57,AMANDA CARTER,Active,sakilacustomer.org
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,1,14-02-2006 22:04,15-02-2006 04:57,STEPHANIE MITCHELL,Active,sakilacustomer.org
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,1,14-02-2006 22:04,15-02-2006 04:57,CAROLYN PEREZ,Active,sakilacustomer.org
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,1,14-02-2006 22:04,15-02-2006 04:57,CHRISTINE ROBERTS,Active,sakilacustomer.org
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,1,14-02-2006 22:04,15-02-2006 04:57,MARIE TURNER,Active,sakilacustomer.org
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,1,14-02-2006 22:04,15-02-2006 04:57,JANET PHILLIPS,Active,sakilacustomer.org
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,1,14-02-2006 22:04,15-02-2006 04:57,CATHERINE CAMPBELL,Active,sakilacustomer.org
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,1,14-02-2006 22:04,15-02-2006 04:57,FRANCES PARKER,Active,sakilacustomer.org
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,1,14-02-2006 22:04,15-02-2006 04:57,ANN EVANS,Active,sakilacustomer.org
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,1,14-02-2006 22:04,15-02-2006 04:57,JOYCE EDWARDS,Active,sakilacustomer.org
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,1,14-02-2006 22:04,15-02-2006 04:57,DIANE COLLINS,Active,sakilacustomer.org
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1,14-02-2006 22:04,15-02-2006 04:57,ALICE STEWART,Active,sakilacustomer.org
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,1,14-02-2006 22:04,15-02-2006 04:57,JULIE SANCHEZ,Active,sakilacustomer.org
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,1,14-02-2006 22:04,15-02-2006 04:57,HEATHER MORRIS,Active,sakilacustomer.org
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,1,14-02-2006 22:04,15-02-2006 04:57,TERESA ROGERS,Active,sakilacustomer.org
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,1,14-02-2006 22:04,15-02-2006 04:57,DORIS REED,Active,sakilacustomer.org
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,1,14-02-2006 22:04,15-02-2006 04:57,GLORIA COOK,Active,sakilacustomer.org
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,1,14-02-2006 22:04,15-02-2006 04:57,EVELYN MORGAN,Active,sakilacustomer.org
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,1,14-02-2006 22:04,15-02-2006 04:57,JEAN BELL,Active,sakilacustomer.org
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,1,14-02-2006 22:04,15-02-2006 04:57,CHERYL MURPHY,Active,sakilacustomer.org
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,1,14-02-2006 22:04,15-02-2006 04:57,MILDRED BAILEY,Active,sakilacustomer.org
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,1,14-02-2006 22:04,15-02-2006 04:57,KATHERINE RIVERA,Active,sakilacustomer.org
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,1,14-02-2006 22:04,15-02-2006 04:57,JOAN COOPER,Active,sakilacustomer.org
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,1,14-02-2006 22:04,15-02-2006 04:57,ASHLEY RICHARDSON,Active,sakilacustomer.org
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,0,14-02-2006 22:04,15-02-2006 04:57,JUDITH COX,Inactive,sakilacustomer.org
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,1,14-02-2006 22:04,15-02-2006 04:57,ROSE HOWARD,Active,sakilacustomer.org
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,1,14-02-2006 22:04,15-02-2006 04:57,JANICE WARD,Active,sakilacustomer.org
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,1,14-02-2006 22:04,15-02-2006 04:57,KELLY TORRES,Active,sakilacustomer.org
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,1,14-02-2006 22:04,15-02-2006 04:57,NICOLE PETERSON,Active,sakilacustomer.org
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,1,14-02-2006 22:04,15-02-2006 04:57,JUDY GRAY,Active,sakilacustomer.org
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,1,14-02-2006 22:04,15-02-2006 04:57,CHRISTINA RAMIREZ,Active,sakilacustomer.org
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,1,14-02-2006 22:04,15-02-2006 04:57,KATHY JAMES,Active,sakilacustomer.org
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,1,14-02-2006 22:04,15-02-2006 04:57,THERESA WATSON,Active,sakilacustomer.org
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,1,14-02-2006 22:04,15-02-2006 04:57,BEVERLY BROOKS,Active,sakilacustomer.org
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,1,14-02-2006 22:04,15-02-2006 04:57,DENISE KELLY,Active,sakilacustomer.org
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,1,14-02-2006 22:04,15-02-2006 04:57,TAMMY SANDERS,Active,sakilacustomer.org
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,1,14-02-2006 22:04,15-02-2006 04:57,IRENE PRICE,Active,sakilacustomer.org
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,1,14-02-2006 22:04,15-02-2006 04:57,JANE BENNETT,Active,sakilacustomer.org
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,1,14-02-2006 22:04,15-02-2006 04:57,LORI WOOD,Active,sakilacustomer.org
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,1,14-02-2006 22:04,15-02-2006 04:57,RACHEL BARNES,Active,sakilacustomer.org
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,1,14-02-2006 22:04,15-02-2006 04:57,MARILYN ROSS,Active,sakilacustomer.org
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,1,14-02-2006 22:04,15-02-2006 04:57,ANDREA HENDERSON,Active,sakilacustomer.org
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,1,14-02-2006 22:04,15-02-2006 04:57,KATHRYN COLEMAN,Active,sakilacustomer.org
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,1,14-02-2006 22:04,15-02-2006 04:57,LOUISE JENKINS,Active,sakilacustomer.org
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,88,1,14-02-2006 22:04,15-02-2006 04:57,SARA PERRY,Active,sakilacustomer.org
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,1,14-02-2006 22:04,15-02-2006 04:57,ANNE POWELL,Active,sakilacustomer.org
86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,90,1,14-02-2006 22:04,15-02-2006 04:57,JACQUELINE LONG,Active,sakilacustomer.org
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,1,14-02-2006 22:04,15-02-2006 04:57,WANDA PATTERSON,Active,sakilacustomer.org
88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,92,1,14-02-2006 22:04,15-02-2006 04:57,BONNIE HUGHES,Active,sakilacustomer.org
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,1,14-02-2006 22:04,15-02-2006 04:57,JULIA FLORES,Active,sakilacustomer.org
90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,94,1,14-02-2006 22:04,15-02-2006 04:57,RUBY WASHINGTON,Active,sakilacustomer.org
91,2,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,95,1,14-02-2006 22:04,15-02-2006 04:57,LOIS BUTLER,Active,sakilacustomer.org
92,2,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,96,1,14-02-2006 22:04,15-02-2006 04:57,TINA SIMMONS,Active,sakilacustomer.org
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,1,14-02-2006 22:04,15-02-2006 04:57,PHYLLIS FOSTER,Active,sakilacustomer.org
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,1,14-02-2006 22:04,15-02-2006 04:57,NORMA GONZALES,Active,sakilacustomer.org
95,2,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,99,1,14-02-2006 22:04,15-02-2006 04:57,PAULA BRYANT,Active,sakilacustomer.org
96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,100,1,14-02-2006 22:04,15-02-2006 04:57,DIANA ALEXANDER,Active,sakilacustomer.org
97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,101,1,14-02-2006 22:04,15-02-2006 04:57,ANNIE RUSSELL,Active,sakilacustomer.org
98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,102,1,14-02-2006 22:04,15-02-2006 04:57,LILLIAN GRIFFIN,Active,sakilacustomer.org
99,2,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,103,1,14-02-2006 22:04,15-02-2006 04:57,EMILY DIAZ,Active,sakilacustomer.org
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,104,1,14-02-2006 22:04,15-02-2006 04:57,ROBIN HAYES,Active,sakilacustomer.org
101,1,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,105,1,14-02-2006 22:04,15-02-2006 04:57,PEGGY MYERS,Active,sakilacustomer.org
102,1,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,106,1,14-02-2006 22:04,15-02-2006 04:57,CRYSTAL FORD,Active,sakilacustomer.org
103,1,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,107,1,14-02-2006 22:04,15-02-2006 04:57,GLADYS HAMILTON,Active,sakilacustomer.org
104,1,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,108,1,14-02-2006 22:04,15-02-2006 04:57,RITA GRAHAM,Active,sakilacustomer.org
105,1,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,109,1,14-02-2006 22:04,15-02-2006 04:57,DAWN SULLIVAN,Active,sakilacustomer.org
106,1,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,110,1,14-02-2006 22:04,15-02-2006 04:57,CONNIE WALLACE,Active,sakilacustomer.org
107,1,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,111,1,14-02-2006 22:04,15-02-2006 04:57,FLORENCE WOODS,Active,sakilacustomer.org
108,1,TRACY,COLE,TRACY.COLE@sakilacustomer.org,112,1,14-02-2006 22:04,15-02-2006 04:57,TRACY COLE,Active,sakilacustomer.org
109,2,EDNA,WEST,EDNA.WEST@sakilacustomer.org,113,1,14-02-2006 22:04,15-02-2006 04:57,EDNA WEST,Active,sakilacustomer.org
110,2,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,114,1,14-02-2006 22:04,15-02-2006 04:57,TIFFANY JORDAN,Active,sakilacustomer.org
111,1,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,115,1,14-02-2006 22:04,15-02-2006 04:57,CARMEN OWENS,Active,sakilacustomer.org
112,2,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,116,1,14-02-2006 22:04,15-02-2006 04:57,ROSA REYNOLDS,Active,sakilacustomer.org
113,2,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,117,1,14-02-2006 22:04,15-02-2006 04:57,CINDY FISHER,Active,sakilacustomer.org
114,2,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,118,1,14-02-2006 22:04,15-02-2006 04:57,GRACE ELLIS,Active,sakilacustomer.org
115,1,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,119,1,14-02-2006 22:04,15-02-2006 04:57,WENDY HARRISON,Active,sakilacustomer.org
116,1,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,120,1,14-02-2006 22:04,15-02-2006 04:57,VICTORIA GIBSON,Active,sakilacustomer.org
117,1,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,121,1,14-02-2006 22:04,15-02-2006 04:57,EDITH MCDONALD,Active,sakilacustomer.org
